dataset,deal_quality_quartile,time_bin,admiration,amusement,anger,annoyance,approval,caring,confusion,curiosity,desire,disappointment,disapproval,disgust,embarrassment,excitement,fear,gratitude,grief,joy,love,nervousness,optimism,pride,realization,relief,remorse,sadness,surprise
heddaya,Q3,4,0.04103249307765101,0.0017026564946308724,0.002434847093489933,0.01319022192080537,0.14427701228791948,0.002698566467248322,0.0674430159666443,0.05385364336825504,0.01359590700362416,0.011950993116107382,0.05845220737919463,0.002069346419194631,0.0011764224063087248,0.008136996821610738,0.007392137725302014,0.0027169962580536914,0.00047105913590604024,0.00563909468557047,0.01616821923328859,0.001403434057315436,0.02302644117315436,0.0006582127624765101,0.01862206648590604,0.0009296226393959732,0.013160452353489933,0.007127008468993288,0.012462257617651008
heddaya,Q3,5,0.05293176965289855,0.001871925086231884,0.002725990970652174,0.011310319645652173,0.12157595934637681,0.004764488242971015,0.05111458990173913,0.06328619738384059,0.016991433956811595,0.015936366357028987,0.0592004087231884,0.0017558182307246377,0.001379036087753623,0.009040749288550726,0.0031749042973913044,0.016483345950434783,0.0007455860353623188,0.004216513252971015,0.010053807766594203,0.003531924544347826,0.026106273805072466,0.0007802253002028985,0.023403783428260872,0.0011396256172463769,0.03433963062739131,0.020883913462391303,0.012381729250869566
heddaya,Q3,6,0.06779675703217687,0.004902821518639455,0.006431024559115646,0.011768997620408162,0.11532776551836733,0.007097986414693878,0.0328456946052381,0.03394789595857142,0.013564945257619048,0.012869504214965986,0.052797924051020406,0.0017340916694557821,0.0010189311908843537,0.008806367694013604,0.0012220068111564626,0.0222719511714966,0.0005536431783673469,0.016216375475034014,0.010554286651904762,0.0006976631624897959,0.025638977140816328,0.0009200839506802722,0.01891742934489796,0.0015164863085034015,0.019237786564380955,0.006053877756326531,0.010992749166666668
heddaya,Q3,7,0.027013050768707483,0.007407604259251702,0.0023099078462585033,0.011676919094557823,0.09861663685986395,0.010358039956938776,0.05593331717666667,0.03852281545591837,0.010523201145714287,0.008431221580612245,0.05289930407374149,0.0017368881685034014,0.0010160504694829932,0.004352494122585034,0.0073041513507483,0.006408910097755102,0.0004969683102040817,0.005972115513809524,0.005228308065034014,0.00245608432829932,0.01970775038027211,0.000658933440340136,0.02005704600680272,0.0012430718245578232,0.017267038501197277,0.006294915552380952,0.0064101373000680275
heddaya,Q3,8,0.022557305850704226,0.001700361448943662,0.0021785903071126758,0.009153418111971831,0.10257434802957748,0.006703321597887324,0.050062711306338034,0.02718405312753521,0.017353367612253524,0.010236853768521128,0.029440659784507044,0.0016762027703521125,0.0010955753882042254,0.00526678872056338,0.002769199793802817,0.011718265519647887,0.0006313078100422535,0.00337687567,0.007982055153521126,0.004308197223309859,0.02946667221267606,0.000591219436971831,0.0184359837971831,0.0009901318682394367,0.02834087890316901,0.01209404418661972,0.008042374529718309
heddaya,Q3,9,0.06965248406171778,0.002120810593374233,0.0025978323185889573,0.012196220401226993,0.1941239571754601,0.0066958669442944785,0.027896885635582822,0.01849560149625767,0.015578262161779143,0.015812253295276073,0.027265280322699387,0.00500270873220859,0.0011841478961840493,0.010688320347055216,0.0014717939595092024,0.014860906754478527,0.0004886801977300614,0.011962894789263804,0.008937466891226995,0.000971584206993865,0.03506656330122699,0.0010917479762208588,0.01867038149815951,0.0016754261319631902,0.010194769801815952,0.00843211874588957,0.0020813313089570553
heddaya,Q4_closer_to_seller_anchor,0,0.04804633815682353,0.0021951034237058823,0.0018421453185882351,0.006645538875294118,0.15448841587058823,0.007019446189823529,0.04332181135858824,0.07564513952670589,0.016331064885941177,0.004420841933176471,0.014982215271529412,0.0014135965864705883,0.0008701135393529412,0.01767542180382353,0.0013427260017647058,0.03698101182488235,0.0006562859722941177,0.008049716854176471,0.013648142472117646,0.0008008776725294117,0.019355708822352942,0.0008636575434470588,0.014654075667058826,0.0016847176483529413,0.014170081101882353,0.01014008350817647,0.006406312870705882
heddaya,Q4_closer_to_seller_anchor,1,0.09804555256866668,0.002073051630466667,0.0018085025527999998,0.007272150561999999,0.15441434794,0.005642018995733333,0.05930076310133334,0.058052382669533324,0.04080707912533333,0.006712662248266666,0.018001304434533332,0.0015844338811333333,0.0008861298054,0.027293034200733337,0.0012829212242666667,0.043923432995,0.0005221406930666667,0.021973425804866668,0.0273356445082,0.00086848096784,0.023367297610666665,0.0013532236545066667,0.022014836841333332,0.0021050507728666667,0.01630401662736,0.006097594144933333,0.004409118198866667
heddaya,Q4_closer_to_seller_anchor,2,0.057873079989930555,0.007651897636527778,0.001949431666875,0.008763525927777778,0.18514737182152777,0.008877116705208334,0.053879730682638884,0.05813648526923611,0.02336600470152778,0.014178504265972221,0.03381712255694444,0.0016021786911111112,0.0012846415898611111,0.013650561465694445,0.002729120040833333,0.0030097859359722225,0.0005637537451388889,0.010317934472430556,0.01818279576659722,0.0025305432258333335,0.04166168078263889,0.0010807716478680555,0.02216180555902778,0.001770503462152778,0.025594985400625,0.008762874174444444,0.0034816820707638885
heddaya,Q4_closer_to_seller_anchor,3,0.06922867539178808,0.0019458234841721854,0.002218740262847682,0.011826935469536424,0.14919150323509933,0.01019866357754967,0.02853116096556291,0.021957749340331126,0.013075019113112582,0.01834497787370861,0.044678045190066226,0.002681953484437086,0.0015463362359271523,0.009001891857880796,0.0013468826966225166,0.004492602842980133,0.00043558193993377484,0.0067938712739735105,0.02794362142403974,0.0008181491551655629,0.021966974409271523,0.0008483755909271523,0.02818745958211921,0.0011584581720529802,0.005575216406887417,0.003963621100993377,0.0030010908664238408
heddaya,Q4_closer_to_seller_anchor,4,0.050609383359261746,0.0017597271869798658,0.0020015484489932884,0.010957934458389263,0.14456511306308725,0.007759274864026846,0.03232434400651007,0.04392536898342282,0.019090348511677853,0.012232668357382551,0.048089096187248326,0.0016743761396644295,0.0008475220661744966,0.013068334380872484,0.007216273299328858,0.009666891339530201,0.00047145795523489937,0.011353484413557047,0.010406405278322147,0.00153733871147651,0.021885471316778524,0.0008518676269664429,0.02101121582080537,0.001188886596375839,0.003005208720671141,0.005213399547651007,0.006420100816845638
heddaya,Q4_closer_to_seller_anchor,5,0.05962167024634482,0.0015380125051034483,0.002703818278551724,0.012055473375172415,0.12808330152344827,0.009015922312,0.04390360119558621,0.04122388404455172,0.014507137374689654,0.00838697751124138,0.05196302586689655,0.0016753509949655172,0.0008885627590344828,0.0049522321528275865,0.0012903228513793104,0.01274385324772414,0.0005142833368275861,0.0038043476768275858,0.017698399800551722,0.0007316652134758621,0.02198200581034483,0.0007964429470344827,0.02254847124137931,0.0009953362113793104,0.01096778066524138,0.00737216484475862,0.006383917709379311
heddaya,Q4_closer_to_seller_anchor,6,0.04995891308558621,0.0017941990937931033,0.0020510846307586206,0.009449745231724139,0.11232790520689655,0.010231231678068966,0.03525385896068966,0.03819618376813793,0.02767656389958621,0.010741934087862068,0.047432493801379316,0.0018120251726896552,0.001031858987862069,0.007154680678896552,0.012099960788896552,0.009949556905655174,0.0006241185867586206,0.004287666617931034,0.020702229295655173,0.0029916757311724135,0.027687790953793104,0.0008501803787586207,0.019495678879310346,0.0012180352583448276,0.014834190429586207,0.01017085687724138,0.0034541879884137927
heddaya,Q4_closer_to_seller_anchor,7,0.07224664983373334,0.0019111770096666666,0.0018451694146000002,0.008284980491333332,0.154657448026,0.004666894456666667,0.031719103830666666,0.0376508455906,0.021251066692266667,0.0082680137984,0.037115638132,0.004328350441400001,0.0010834898710666667,0.007285810448533333,0.0011806815033333332,0.004680981144533333,0.0005990703674,0.0091848188894,0.011012867861266666,0.0006891156012000001,0.030183739087333333,0.0009568848293133333,0.023177865934,0.001665155512,0.010671324898906667,0.0109144810906,0.006305292080133334
heddaya,Q4_closer_to_seller_anchor,8,0.05426872298333333,0.001981325801180556,0.0021646301443055556,0.008886481097916668,0.10308784548958333,0.007322967535208332,0.034618235884444445,0.03186519794277778,0.010665540217222222,0.013978594998819443,0.020156257080555556,0.001642524378263889,0.001199419637638889,0.005314451467083333,0.008633583112916666,0.004508192435972222,0.0006405228377083333,0.009294036588055556,0.011828073696458333,0.005343425520694445,0.024706746583333335,0.000771871506076389,0.017864907893055556,0.001370216525486111,0.026181468910138887,0.010713047554027778,0.0028529710172916665
heddaya,Q4_closer_to_seller_anchor,9,0.0978309260347826,0.002169210803229814,0.0027029013777639752,0.012246496133540372,0.16971112519565218,0.006004259074161491,0.023204063588447205,0.023919401705962733,0.02325764718267081,0.009485593023416148,0.021636181879937887,0.0014455122236024843,0.0005967128568944099,0.01254083362583851,0.0013906538693167702,0.023988693502173915,0.0003789094072670807,0.025189739723540373,0.023434642648074537,0.0006349382140807454,0.03744210362670808,0.001085072512931677,0.013063596275776397,0.00198458731310559,0.0005295108256024845,0.0025540486457763974,0.0033592716556521737
a2a,Q1_closer_to_buyer_anchor,0,0.2911377485384615,0.0030774561923076925,0.002174612923076923,0.003597991769230769,0.1091375003846154,0.02204274942307692,0.034859074576923076,0.4555833608846154,0.029557539730769227,0.0019216288846153847,0.004974301192307693,0.0012261265769230767,0.0007014584615384615,0.09002677542307692,0.0023646534615384615,0.3804977016153846,0.0011277661923076924,0.08227337930769231,0.04262806565384615,0.0018001415,0.07084632446153846,0.0030017186923076925,0.005731666461538462,0.006893154653846155,0.0023643167692307693,0.0023504131153846155,0.014639145538461538
a2a,Q1_closer_to_buyer_anchor,1,0.45411199364705884,0.0019316305294117648,0.0039079639411764705,0.00637796805882353,0.112138639,0.030989197588235293,0.04043997364705882,0.40498120029411766,0.051306045529411766,0.006757000764705883,0.014860095470588237,0.0017440075882352944,0.000782759294117647,0.07398605164705882,0.002274664176470588,0.24050875641176472,0.0012380011764705884,0.01001485,0.04055173529411765,0.0014349246470588236,0.09875919735294118,0.0026613758823529413,0.007221852117647059,0.0034102082352941176,0.0032991430588235294,0.004707494058823529,0.007033441941176471
