outcome,feature,n,pearson_r,pearson_p,spearman_r,spearman_p,abs_pearson_r,dataset
outcome_binary,annoyance_mean,48,-0.236,0.1064,-0.2182,0.1362,0.236,dealerships
outcome_binary,disappointment_mean,48,-0.2356,0.1069,-0.1791,0.2232,0.2356,dealerships
outcome_binary,confusion_last,48,-0.2352,0.1076,-0.3477,0.0155,0.2352,dealerships
outcome_binary,grief_min,48,-0.233,0.111,-0.2393,0.1014,0.233,dealerships
outcome_binary,excitement_max,48,0.2326,0.1116,0.2092,0.1535,0.2326,dealerships
outcome_binary,annoyance_late_mean,48,-0.2278,0.1194,-0.2423,0.097,0.2278,dealerships
outcome_binary,sadness_early_mean,48,0.2253,0.1237,0.2604,0.0739,0.2253,dealerships
outcome_binary,disappointment_buyer_minus_seller_mean,48,-0.2217,0.13,-0.2754,0.0581,0.2217,dealerships
outcome_binary,disappointment_late_minus_early,48,-0.2213,0.1306,-0.0677,0.6474,0.2213,dealerships
outcome_binary,grief_buyer_minus_seller_mean,48,-0.2201,0.1328,-0.2002,0.1725,0.2201,dealerships
outcome_binary,optimism_last,48,-0.2196,0.1337,-0.0948,0.5215,0.2196,dealerships
outcome_binary,disappointment_late_mean,48,-0.2195,0.1339,-0.0497,0.7374,0.2195,dealerships
outcome_binary,sadness_buyer_minus_seller_mean,48,-0.2169,0.1387,-0.1821,0.2154,0.2169,dealerships
outcome_binary,joy_late_mean,48,0.2167,0.1389,0.3718,0.0093,0.2167,dealerships
outcome_binary,realization_mean,48,-0.2143,0.1436,-0.155,0.2927,0.2143,dealerships
outcome_binary,excitement_last,48,0.2115,0.1491,0.0286,0.847,0.2115,dealerships
outcome_binary,embarrassment_last,48,-0.2099,0.1521,-0.155,0.2927,0.2099,dealerships
outcome_binary,anger_buyer_minus_seller_mean,48,-0.2098,0.1524,-0.1249,0.3975,0.2098,dealerships
outcome_binary,nervousness_max,48,0.2062,0.1597,0.2694,0.0641,0.2062,dealerships
outcome_binary,nervousness_std,48,0.2033,0.1658,0.14,0.3427,0.2033,dealerships
outcome_binary,admiration_late_minus_early,48,0.2027,0.167,0.2514,0.0848,0.2027,dealerships
outcome_binary,amusement_early_mean,48,0.2027,0.167,0.2122,0.1476,0.2027,dealerships
outcome_binary,gratitude_early_mean,48,0.2013,0.1702,0.2514,0.0848,0.2013,dealerships
outcome_binary,grief_early_mean,48,0.2009,0.171,0.2815,0.0526,0.2009,dealerships
outcome_binary,remorse_std,48,0.1988,0.1756,0.155,0.2927,0.1988,dealerships
outcome_binary,relief_last,48,-0.197,0.1797,-0.1881,0.2003,0.197,dealerships
outcome_binary,love_first,48,-0.1945,0.1853,-0.1671,0.2564,0.1945,dealerships
outcome_binary,embarrassment_max,48,0.1943,0.1858,0.2393,0.1014,0.1943,dealerships
