conversation_id,turn,outcome,z_1,z_2,z_3,z_4
154,26,sale,-2.09068,-0.790702,0.676488,-0.664739
154,27,sale,-1.367403,0.051186,1.002873,-0.691355
154,28,sale,-0.546356,1.488257,1.559705,-0.81693
154,29,sale,-0.42687,2.423763,2.073493,-1.009171
162,0,sale,-0.121947,1.065504,0.888969,-0.446963
162,1,sale,-0.190761,1.429415,0.615177,-1.095202
162,2,sale,-0.297919,1.814183,0.368484,-1.4481
162,3,sale,-0.448459,2.372883,0.26414,-1.153786
162,4,sale,-0.583265,2.81189,0.074397,-0.643433
162,5,sale,-0.654776,2.763494,-0.362599,-0.056335
162,6,sale,-0.58162,2.014699,-0.921713,0.338761
162,7,sale,-0.373247,1.209191,-0.801087,0.493744
162,8,sale,-0.242558,1.023726,-0.315728,-0.178192
162,9,sale,-0.239836,1.453921,0.281557,-1.382088
162,10,sale,-0.25744,1.811366,0.731736,-1.704948
162,11,sale,-0.191058,1.556124,0.888448,-1.179753
162,12,sale,-0.080603,0.872305,0.632042,-0.509275
162,13,sale,-0.015044,0.375547,0.27692,-0.21753
162,14,sale,-0.009966,0.314871,0.175236,-0.251389
162,15,sale,-0.0716,0.580193,0.103058,-0.75567
162,16,sale,-0.151148,0.965738,0.088988,-1.400183
162,17,sale,-0.192723,1.354029,0.445983,-1.59413
162,18,sale,-0.169117,1.474987,0.933471,-1.208444
162,19,sale,-0.132417,1.37595,1.142876,-0.776461
166,0,no sale,-0.345934,0.93686,0.933587,-0.49938
166,1,no sale,-2.182308,0.116345,1.243051,-0.959758
166,2,no sale,-2.100935,-0.366503,0.837082,-0.710871
166,3,no sale,-1.171037,-0.272562,0.286885,-0.196625
166,4,no sale,-0.460374,0.285438,-0.220509,0.560713
166,5,no sale,-0.420774,1.065286,-0.305926,0.969537
166,6,no sale,-0.48036,1.897273,0.282057,0.653717
166,7,no sale,-0.401405,2.144205,0.990792,-0.048585
166,8,no sale,-0.222988,1.632094,1.137142,-0.456138
166,9,no sale,-0.088819,0.913038,0.769365,-0.367738
166,10,no sale,-0.065985,0.794181,0.727358,-0.376512
166,11,no sale,-0.097212,1.063911,0.964148,-0.503516
166,12,no sale,-0.12838,1.230849,1.086726,-0.562549
172,0,sale,-0.278614,0.571381,-0.892922,1.429343
172,1,sale,-0.345473,0.688436,-1.01231,1.580376
172,2,sale,-0.216003,0.622288,-0.371804,0.797881
172,3,sale,-0.140025,0.912017,0.474448,-0.039406
172,4,sale,-0.198259,1.623725,1.216218,-0.565386
172,5,sale,-0.269783,2.086838,1.54037,-0.793228
172,6,sale,-0.239871,1.803026,1.2563,-0.649605
172,7,sale,-0.132665,1.053444,0.623728,-0.267466
172,8,sale,-0.083596,0.628668,0.138045,0.132473
172,9,sale,-0.261195,1.127441,-0.236552,0.752877
172,10,sale,-0.649398,2.111878,-0.900891,1.470942
